ID,Band0,Band1,Band2,Class
4613,41.0,10.0,7.0,1
4614,48.0,20.0,17.0,1
4615,46.0,16.0,14.0,1
4616,51.0,17.0,15.0,1
4617,59.0,19.0,17.0,1
4618,72.0,27.0,24.0,1
4619,93.0,44.0,40.0,1
4620,90.0,36.0,34.0,1
4621,99.0,43.0,42.0,1
4622,108.0,53.0,50.0,1
4623,107.0,49.0,47.0,1
4624,106.0,48.0,46.0,1
4625,92.0,37.0,34.0,1
4626,102.0,47.0,42.0,1
4627,90.0,35.0,30.0,1
4628,102.0,47.0,42.0,1
4629,90.0,32.0,28.0,1
4630,100.0,42.0,40.0,1
4631,106.0,46.0,45.0,1
4632,89.0,25.0,23.0,1
4633,96.0,28.0,27.0,1
4634,93.0,22.0,20.0,1
4635,113.0,42.0,40.0,1
4636,112.0,41.0,39.0,1
4637,126.0,58.0,57.0,1
4638,105.0,41.0,41.0,1
4639,74.0,16.0,15.0,1
4640,60.0,10.0,11.0,1
4641,56.0,15.0,13.0,1
4642,51.0,13.0,10.0,1
4643,63.0,25.0,22.0,1
4644,76.0,36.0,34.0,1
4645,87.0,46.0,44.0,1
4646,71.0,26.0,23.0,1
4647,66.0,18.0,16.0,1
4648,87.0,38.0,34.0,1
4649,82.0,31.0,28.0,1
4650,103.0,49.0,47.0,1
4651,80.0,25.0,22.0,1
4652,114.0,59.0,54.0,1
4653,109.0,56.0,52.0,1
4654,97.0,46.0,42.0,1
4655,96.0,47.0,43.0,1
4656,81.0,33.0,29.0,1
4657,77.0,33.0,30.0,1
4658,84.0,46.0,43.0,1
4659,81.0,50.0,45.0,1
4660,38.0,9.0,5.0,1
4661,40.0,12.0,9.0,1
4662,42.0,14.0,11.0,1
4663,41.0,13.0,10.0,1
4664,55.0,27.0,23.0,1
4665,61.0,32.0,26.0,1
4666,64.0,33.0,28.0,1
4667,75.0,42.0,35.0,1
4668,65.0,34.0,29.0,1
4669,73.0,45.0,41.0,1
4670,80.0,24.0,23.0,1
4671,80.0,30.0,29.0,1
4672,77.0,31.0,31.0,1
4673,74.0,34.0,32.0,1
4674,64.0,31.0,26.0,1
4675,49.0,18.0,15.0,1
4676,48.0,14.0,13.0,1
4677,60.0,21.0,22.0,1
4678,63.0,19.0,20.0,1
4679,71.0,23.0,23.0,1
4680,85.0,34.0,33.0,1
4681,96.0,40.0,39.0,1
4682,105.0,45.0,44.0,1
4683,105.0,44.0,43.0,1
4684,98.0,37.0,36.0,1
4685,94.0,35.0,31.0,1
4686,99.0,41.0,37.0,1
4687,97.0,42.0,37.0,1
4688,88.0,35.0,29.0,1
4689,74.0,23.0,19.0,1
4690,62.0,13.0,8.0,1
4691,76.0,27.0,23.0,1
4692,76.0,25.0,22.0,1
4693,70.0,12.0,11.0,1
4694,73.0,9.0,7.0,1
4695,87.0,19.0,18.0,1
4696,107.0,37.0,35.0,1
4697,114.0,46.0,43.0,1
4698,124.0,60.0,58.0,1
4699,95.0,37.0,36.0,1
4700,65.0,15.0,14.0,1
4701,58.0,17.0,15.0,1
4702,51.0,17.0,15.0,1
4703,44.0,15.0,11.0,1
4704,49.0,21.0,17.0,1
4705,41.0,12.0,8.0,1
4706,54.0,19.0,17.0,1
4707,68.0,28.0,26.0,1
4708,53.0,12.0,10.0,1
4709,63.0,18.0,15.0,1
4710,77.0,27.0,26.0,1
4711,80.0,26.0,24.0,1
4712,79.0,24.0,21.0,1
4713,91.0,36.0,33.0,1
4714,98.0,42.0,41.0,1
4715,97.0,43.0,41.0,1
4716,83.0,32.0,29.0,1
4717,64.0,16.0,12.0,1
4718,76.0,35.0,31.0,1
4719,88.0,53.0,49.0,1
4720,71.0,42.0,38.0,1
4721,43.0,18.0,14.0,1
4722,40.0,16.0,12.0,1
4723,36.0,12.0,10.0,1
4724,39.0,18.0,15.0,1
4725,41.0,17.0,13.0,1
4726,43.0,18.0,14.0,1
4727,65.0,37.0,33.0,1
4728,59.0,30.0,24.0,1
4729,64.0,35.0,29.0,1
4730,60.0,35.0,30.0,1
4731,73.0,22.0,21.0,1
4732,78.0,28.0,27.0,1
4733,82.0,37.0,34.0,1
4734,69.0,25.0,24.0,1
4735,67.0,29.0,26.0,1
4736,62.0,27.0,23.0,1
4737,53.0,15.0,14.0,1
4738,55.0,15.0,15.0,1
4739,65.0,19.0,19.0,1
4740,87.0,37.0,36.0,1
4741,84.0,30.0,28.0,1
4742,94.0,36.0,35.0,1
4743,94.0,33.0,32.0,1
4744,99.0,35.0,33.0,1
4745,103.0,38.0,36.0,1
4746,92.0,28.0,26.0,1
4747,101.0,40.0,37.0,1
4748,94.0,36.0,32.0,1
4749,86.0,33.0,29.0,1
4750,87.0,38.0,33.0,1
4751,78.0,30.0,26.0,1
4752,66.0,18.0,14.0,1
4753,59.0,10.0,6.0,1
4754,63.0,9.0,7.0,1
4755,74.0,14.0,13.0,1
4756,89.0,25.0,23.0,1
4757,102.0,37.0,35.0,1
4758,108.0,44.0,42.0,1
4759,118.0,60.0,58.0,1
4760,75.0,24.0,21.0,1
4761,54.0,9.0,6.0,1
4762,51.0,13.0,10.0,1
4763,44.0,15.0,11.0,1
4764,38.0,13.0,9.0,1
4765,42.0,18.0,14.0,1
4766,42.0,17.0,13.0,1
4767,47.0,18.0,14.0,1
4768,51.0,16.0,14.0,1
4769,63.0,23.0,21.0,1
4770,63.0,19.0,18.0,1
4771,74.0,24.0,23.0,1
4772,79.0,25.0,23.0,1
4773,94.0,39.0,36.0,1
4774,93.0,35.0,33.0,1
4775,80.0,24.0,23.0,1
4776,79.0,25.0,23.0,1
4777,94.0,45.0,41.0,1
4778,84.0,39.0,34.0,1
4779,75.0,36.0,31.0,1
4780,77.0,44.0,39.0,1
4781,61.0,33.0,29.0,1
4782,43.0,19.0,15.0,1
4783,46.0,22.0,18.0,1
4784,42.0,18.0,14.0,1
4785,42.0,18.0,14.0,1
4786,39.0,15.0,11.0,1
4787,61.0,36.0,32.0,1
4788,62.0,34.0,31.0,1
4789,74.0,45.0,41.0,1
4790,61.0,33.0,29.0,1
4791,53.0,30.0,24.0,1
4792,82.0,31.0,28.0,1
4793,79.0,29.0,28.0,1
4794,93.0,43.0,42.0,1
4795,77.0,32.0,29.0,1
4796,72.0,28.0,27.0,1
4797,77.0,36.0,34.0,1
4798,63.0,23.0,21.0,1
4799,61.0,20.0,18.0,1
4800,71.0,23.0,23.0,1
4801,90.0,39.0,38.0,1
4802,88.0,32.0,31.0,1
4803,96.0,36.0,36.0,1
4804,99.0,35.0,35.0,1
4805,106.0,41.0,39.0,1
4806,119.0,51.0,50.0,1
4807,116.0,48.0,45.0,1
4808,90.0,25.0,23.0,1
4809,84.0,23.0,20.0,1
4810,69.0,9.0,8.0,1
4811,60.0,5.0,2.0,1
4812,97.0,44.0,40.0,1
4813,99.0,48.0,45.0,1
4814,90.0,41.0,37.0,1
4815,77.0,26.0,23.0,1
4816,68.0,14.0,12.0,1
4817,81.0,25.0,24.0,1
4818,102.0,44.0,42.0,1
4819,122.0,67.0,64.0,1
4820,96.0,42.0,40.0,1
4821,70.0,20.0,19.0,1
4822,67.0,23.0,22.0,1
4823,67.0,29.0,28.0,1
4824,50.0,19.0,17.0,1
4825,44.0,19.0,15.0,1
4826,40.0,16.0,12.0,1
4827,41.0,16.0,12.0,1
4828,48.0,18.0,16.0,1
4829,51.0,17.0,16.0,1
4830,59.0,21.0,20.0,1
4831,65.0,21.0,20.0,1
4832,82.0,32.0,31.0,1
4833,88.0,34.0,32.0,1
4834,93.0,38.0,35.0,1
4835,101.0,43.0,41.0,1
4836,105.0,50.0,47.0,1
4837,101.0,50.0,46.0,1
4838,103.0,55.0,51.0,1
4839,72.0,28.0,25.0,1
4840,60.0,22.0,19.0,1
4841,53.0,22.0,17.0,1
4842,43.0,15.0,11.0,1
4843,42.0,17.0,12.0,1
4844,60.0,32.0,28.0,1
4845,58.0,30.0,26.0,1
4846,54.0,25.0,21.0,1
4847,55.0,26.0,22.0,1
4848,73.0,42.0,40.0,1
4849,79.0,48.0,46.0,1
4850,66.0,37.0,33.0,1
4851,49.0,21.0,17.0,1
4852,53.0,25.0,21.0,1
4853,77.0,26.0,23.0,1
4854,68.0,19.0,15.0,1
4855,81.0,32.0,28.0,1
4856,87.0,37.0,36.0,1
4857,84.0,39.0,36.0,1
4858,77.0,33.0,32.0,1
4859,69.0,25.0,24.0,1
4860,59.0,15.0,14.0,1
4861,78.0,30.0,28.0,1
4862,83.0,32.0,31.0,1
4863,91.0,35.0,34.0,1
4864,83.0,23.0,22.0,1
4865,101.0,37.0,35.0,1
4866,106.0,41.0,39.0,1
4867,110.0,42.0,39.0,1
4868,110.0,40.0,38.0,1
4869,99.0,31.0,30.0,1
4870,89.0,24.0,22.0,1
4871,92.0,28.0,26.0,1
4872,99.0,39.0,38.0,1
4873,121.0,63.0,61.0,1
4874,119.0,66.0,62.0,1
4875,101.0,50.0,47.0,1
4876,80.0,30.0,29.0,1
4877,64.0,16.0,14.0,1
4878,88.0,40.0,38.0,1
4879,84.0,36.0,32.0,1
4880,88.0,40.0,36.0,1
4881,55.0,7.0,5.0,1
4882,70.0,22.0,20.0,1
4883,84.0,40.0,39.0,1
4884,78.0,38.0,36.0,1
4885,62.0,28.0,26.0,1
4886,45.0,17.0,14.0,1
4887,40.0,15.0,11.0,1
4888,41.0,16.0,12.0,1
4889,48.0,18.0,16.0,1
4890,54.0,20.0,19.0,1
4891,55.0,17.0,16.0,1
4892,58.0,17.0,15.0,1
4893,73.0,23.0,22.0,1
4894,86.0,32.0,30.0,1
4895,92.0,37.0,34.0,1
4896,101.0,46.0,43.0,1
4897,114.0,61.0,57.0,1
4898,113.0,62.0,58.0,1
4899,91.0,43.0,39.0,1
4900,73.0,32.0,28.0,1
4901,59.0,21.0,18.0,1
4902,41.0,10.0,5.0,1
4903,42.0,13.0,9.0,1
4904,52.0,23.0,19.0,1
4905,70.0,39.0,34.0,1
4906,72.0,39.0,34.0,1
4907,74.0,39.0,33.0,1
4908,79.0,44.0,40.0,1
4909,73.0,38.0,36.0,1
4910,61.0,27.0,25.0,1
4911,47.0,18.0,14.0,1
4912,54.0,26.0,22.0,1
