ID,Band0,Band1,Band2,Class
5573,123.0,133.0,132.0,4
5574,49.0,57.0,59.0,4
5575,19.0,29.0,31.0,4
5576,28.0,38.0,40.0,4
5577,53.0,61.0,63.0,4
5578,30.0,38.0,40.0,4
5579,32.0,40.0,42.0,4
5580,70.0,78.0,80.0,4
5581,62.0,71.0,70.0,4
5582,72.0,80.0,82.0,4
5583,69.0,77.0,79.0,4
5584,67.0,77.0,78.0,4
5585,72.0,84.0,84.0,4
5586,66.0,78.0,78.0,4
5587,82.0,94.0,94.0,4
5588,76.0,88.0,86.0,4
5589,70.0,80.0,79.0,4
5590,46.0,56.0,57.0,4
5591,13.0,23.0,24.0,4
5592,31.0,41.0,42.0,4
5593,43.0,53.0,54.0,4
5594,27.0,37.0,38.0,4
5595,34.0,44.0,45.0,4
5596,89.0,99.0,100.0,4
5597,101.0,111.0,112.0,4
5598,45.0,55.0,56.0,4
5599,23.0,33.0,35.0,4
5600,24.0,35.0,37.0,4
5601,42.0,54.0,54.0,4
5602,44.0,58.0,58.0,4
5603,47.0,61.0,61.0,4
5604,56.0,70.0,70.0,4
5605,72.0,84.0,84.0,4
5606,27.0,37.0,38.0,4
5607,22.0,32.0,33.0,4
5608,28.0,38.0,39.0,4
5609,26.0,36.0,37.0,4
5610,15.0,25.0,26.0,4
5611,34.0,44.0,45.0,4
5612,37.0,47.0,48.0,4
5613,33.0,43.0,44.0,4
5614,31.0,41.0,42.0,4
5615,32.0,42.0,44.0,4
5616,32.0,43.0,45.0,4
5617,26.0,38.0,38.0,4
5618,26.0,38.0,38.0,4
5619,17.0,31.0,32.0,4
5620,40.0,54.0,55.0,4
5621,63.0,75.0,75.0,4
5622,41.0,51.0,52.0,4
5623,55.0,65.0,67.0,4
5624,46.0,56.0,57.0,4
5625,68.0,76.0,78.0,4
5626,54.0,64.0,65.0,4
5627,30.0,40.0,41.0,4
5628,32.0,42.0,44.0,4
5629,40.0,50.0,51.0,4
5630,50.0,60.0,61.0,4
5631,52.0,62.0,63.0,4
5632,36.0,46.0,47.0,4
5633,45.0,55.0,56.0,4
5634,39.0,49.0,50.0,4
5635,26.0,38.0,38.0,4
5636,14.0,26.0,26.0,4
5637,22.0,32.0,34.0,4
5638,71.0,62.0,55.0,4
5639,75.0,65.0,56.0,4
5640,87.0,74.0,66.0,4
5641,80.0,66.0,57.0,4
5642,80.0,66.0,57.0,4
5643,89.0,72.0,64.0,4
5644,85.0,68.0,61.0,4
5645,75.0,62.0,56.0,4
5646,72.0,63.0,56.0,4
5647,85.0,75.0,66.0,4
5648,87.0,74.0,66.0,4
5649,85.0,70.0,63.0,4
5650,71.0,56.0,49.0,4
5651,82.0,67.0,60.0,4
5652,83.0,68.0,61.0,4
5653,85.0,74.0,68.0,4
5654,69.0,62.0,54.0,4
5655,84.0,74.0,65.0,4
5656,86.0,73.0,65.0,4
5657,84.0,71.0,63.0,4
5658,72.0,59.0,51.0,4
5659,83.0,70.0,62.0,4
5660,83.0,72.0,66.0,4
5661,68.0,59.0,54.0,4
5662,73.0,66.0,58.0,4
5663,77.0,68.0,61.0,4
5664,78.0,69.0,62.0,4
5665,73.0,64.0,57.0,4
5666,68.0,59.0,52.0,4
5667,66.0,59.0,51.0,4
5668,67.0,60.0,54.0,4
5669,46.0,39.0,33.0,4
5670,69.0,65.0,56.0,4
5671,69.0,62.0,54.0,4
5672,75.0,68.0,60.0,4
5673,72.0,65.0,57.0,4
5674,69.0,65.0,56.0,4
5675,67.0,62.0,56.0,4
